scrape_date,website,url,product,quantity,unit_price,price,promo
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken Lager Beer 15 X 440Ml,440Ml,£2.13/litre,£ 14.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken Alcohol Free Beer 12 X 330Ml,330Ml,£2.03/litre,£ 8.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken Lager 650Ml Bottle,Bottle,£2.60/litre,£ 1.69,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken 0.0 Alcohol Free Lager 6X330ml,6X330ml,£2.03/litre,£ 4.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken Lager 5% Cans 6 X 330Ml,330Ml,£2.53/litre,£ 5.00,£4.50 Clubcard Price
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken Lager Beer 4 X 440Ml,440Ml,£2.70/litre,£ 4.75,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Heineken 0.0 Alcohol Free Beer 4X330ml,4X330ml,£2.66/litre,£ 3.50,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Kronenbourg 12X275ml,12X275ml,£2.73/litre,£ 9.00,£7.00 Clubcard Price
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Birra Moretti Lager 4X330ml,4X330ml,£3.79/litre,£ 5.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Desperados 3X330ml,3X330ml,£5.06/litre,£ 5.00,£4.00 Clubcard Price
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Kronenbourg 1664 Lager 660Ml,660Ml,£3.04/litre,£ 2.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Old Mout Cider Pineapple & Raspberry 500Ml Bottle,Bottle,£0.44/100ml,£ 2.20,Any 3 for £5 Clubcard Price - Selected Beers 330ml - 710ml
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=heineken,Theakston Pale Ale 500Ml,500Ml,£3.40/litre,£ 1.70,Any 4 for £6 Clubcard Price - Selected Beers 250ml - 500ml
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser 20 Pack 300Ml,300Ml,£2.00/litre,£ 11.99,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser Lager 18 X 440Ml,440Ml,£1.90/litre,£ 15.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Bud Light Lager 15 X 440Ml,440Ml,£2.13/litre,£ 14.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser 4X440ml,4X440ml,£2.39/litre,£ 4.19,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser 6X300ml,6X300ml,£2.78/litre,£ 5.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser 660Ml,660Ml,£2.57/litre,£ 1.69,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser Lager Beer 12 X 300Ml,300Ml,£2.50/litre,£ 8.99,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Bud Light Beer 20X300ml,20X300ml,£2.00/litre,£ 12.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser Budvar Original 6X330ml Cans,6X330ml,£2.96/litre,£ 5.85,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Budweiser Budvar 500Ml,500Ml,£3.70/litre,£ 1.85,Any 3 for £5 Clubcard Price - Selected Beers 330ml - 710ml
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Bud Light Beer 4X300ml,4X300ml,£2.92/litre,£ 3.50,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Bud Light 4X440ml,4X440ml,£2.28/litre,£ 4.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Budweiser,Triple Karmeliet Beer 750Ml,750Ml,£6.67/litre,£ 5.00,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Calsberg,Carlsberg Pilsner 18X440ml Can,18X440ml,£1.39/litre,£ 10.99,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Calsberg,Carlsberg Export 4X568ml,4X568ml,£2.32/litre,£ 5.25,£4.50 Clubcard Price
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Calsberg,Carlsberg 4X568ml,4X568ml,£2.03/litre,£ 4.60,
2022-02-17,Tesco,https://www.tesco.com/groceries/en-GB/search?query=Calsberg,Carlsberg Pilsner 10X440ml Can,10X440ml,£2.05/litre,£ 9.00,£7.00 Clubcard Price
